order_item_id,order_id,item_id,quantity,price
424,147,206,2,386.23
425,147,203,3,252.37
426,147,205,1,186.6
427,147,208,1,137.07
428,148,82,3,257.14
429,149,76,3,163.48
430,149,79,2,329.29
431,149,77,1,324.39
432,149,74,2,546.89
433,150,8,2,430.05
434,150,1,2,240.86
435,151,177,2,427.86
436,151,175,2,233.96
437,151,184,2,535.38
438,151,182,1,304.21
439,151,176,2,178.28
440,152,130,1,547.1
441,152,136,2,479.64
442,152,132,2,320.5
443,152,129,1,561.54
444,153,158,3,281.22
445,153,162,2,413.12
446,153,155,2,219.19
447,153,156,2,506.52
448,154,348,2,469.54
449,155,278,3,170.58
450,156,22,1,340.37
451,157,255,2,434.17
452,157,253,1,580.8
453,157,254,3,145.27
454,157,256,2,165.55
455,157,252,1,372.2
456,158,206,1,386.23
457,158,203,2,252.37
458,158,205,3,186.6
459,158,204,2,520.08
460,158,211,2,115.45
461,159,50,3,179.18
462,160,189,2,389.79
463,160,187,2,492.54
464,160,190,3,578.38
465,160,185,1,243.03
466,160,186,3,362.06
467,161,82,3,257.14
468,161,84,2,337.48
469,161,83,3,171.45
470,161,80,1,106.36
471,161,81,1,255.25
472,162,80,3,106.36
473,162,81,3,255.25
474,162,82,1,257.14
475,162,83,1,171.45
476,162,84,1,337.48
477,163,122,1,264.99
478,163,120,1,520.12
479,163,127,1,414.5
480,163,121,2,510.53
481,164,56,1,336.27
482,164,53,1,109.28
483,164,55,2,411.64
484,164,52,1,598.98
485,165,18,3,227.61
486,165,11,3,460.67
487,166,259,3,514.59
488,166,265,3,153.4
489,167,263,2,183.05
490,167,258,1,437.51
491,167,259,1,514.59
492,167,262,2,261.24
493,167,264,2,595.06
494,168,144,3,244.77
495,168,142,2,277.08
496,169,31,3,211.21
497,169,29,1,289.92
498,169,33,1,333.58
499,170,256,1,165.55
500,170,255,2,434.17
501,170,254,2,145.27
502,170,252,2,372.2
503,171,80,1,106.36
504,171,82,2,257.14
505,171,81,3,255.25
506,171,83,3,171.45
507,171,84,1,337.48
508,172,317,3,388.58
509,172,319,1,235.33
510,172,311,3,499.23
511,172,316,3,292.94
512,173,13,1,181.3
513,174,328,3,383.36
514,175,185,2,243.03
515,175,189,1,389.79
516,176,299,1,328.85
517,176,301,2,183.0
518,176,302,1,218.65
519,177,18,3,227.61
520,177,11,1,460.67
521,177,16,3,330.96
522,177,14,2,590.92
523,177,15,2,197.1
524,178,12,1,179.46
525,178,17,3,349.24
526,179,255,1,434.17
527,179,256,2,165.55
528,179,254,3,145.27
529,180,240,3,244.74
530,180,237,2,276.95
531,181,82,2,257.14
532,181,83,2,171.45
533,182,262,2,261.24
534,182,263,1,183.05
535,182,265,3,153.4
536,182,257,3,265.79
537,183,140,3,165.64
538,183,145,2,364.26
539,183,143,2,277.36
540,184,293,1,466.79
541,185,109,1,419.32
542,186,248,2,598.05
543,186,244,1,561.85
544,186,247,3,487.56
545,186,246,2,586.06
546,187,145,2,364.26
547,187,144,1,244.77
548,188,226,2,376.49
549,188,227,2,275.46
550,188,231,2,403.1
551,188,232,3,370.3
552,189,223,1,292.68
553,190,170,1,373.29
554,190,166,3,394.12
555,191,1,3,240.86
556,192,82,3,257.14
557,193,226,2,376.49
558,193,230,1,392.78
559,194,346,3,310.62
560,194,345,3,204.24
561,194,348,1,469.54
562,194,350,3,279.68
563,194,349,2,424.82
564,195,26,2,457.65
565,195,27,1,304.17
566,195,24,2,118.07
567,195,25,3,358.61
568,195,28,1,355.9
569,196,21,3,220.2
570,197,112,3,517.61
571,198,307,2,499.35
572,199,177,3,427.86
573,199,179,1,307.38
574,200,3,2,412.97
575,200,2,3,153.96
576,200,8,3,430.05
577,200,6,2,288.65
578,200,5,2,202.06
579,201,289,2,381.41
580,201,292,2,453.55
581,201,283,1,584.65
582,202,188,1,191.11
583,202,190,1,578.38
584,202,185,3,243.03
585,202,186,2,362.06
586,202,187,3,492.54
587,203,165,2,396.14
588,203,173,2,583.8
589,203,171,2,405.4
590,203,166,3,394.12
591,203,168,3,220.7
592,204,94,2,392.19
593,204,104,2,229.8
594,204,103,1,115.79
595,204,102,2,271.46
596,205,300,2,409.59
597,205,295,3,412.3
598,205,303,1,120.75
599,206,92,3,368.99
600,206,91,1,586.69
601,207,209,1,502.3
602,208,177,2,427.86
603,208,179,2,307.38
604,209,3,3,412.97
605,209,7,1,273.24
606,209,2,1,153.96
607,209,4,2,544.92
608,209,9,2,443.53
609,210,19,2,522.0
610,210,23,2,546.25
611,210,22,2,340.37
612,211,71,2,386.66
613,211,70,2,347.88
614,211,68,1,492.27
615,212,174,3,529.93
616,212,165,1,396.14
617,213,254,3,145.27
618,213,252,3,372.2
619,214,46,1,445.4
620,214,43,3,526.09
621,215,5,1,202.06
622,216,145,1,364.26
623,216,140,2,165.64
624,217,323,3,535.41
625,217,324,3,468.77
626,217,327,2,201.68
627,217,328,3,383.36
628,218,169,2,403.98
629,218,168,2,220.7
630,219,79,1,329.29
631,219,78,1,463.86
632,219,75,3,440.88
633,220,109,3,419.32
634,220,105,1,226.0
635,220,107,1,534.33
636,221,178,2,466.71
637,222,153,1,567.79
638,222,158,3,281.22
639,222,157,3,577.93
640,222,159,2,315.52
641,223,183,1,297.75
642,224,72,3,438.98
643,225,79,1,329.29
644,226,103,3,115.79
645,226,104,3,229.8
646,227,351,1,103.52
647,227,348,2,469.54
648,227,349,2,424.82
649,227,345,3,204.24
650,228,198,1,184.36
651,228,201,2,351.44
652,229,152,1,529.55
653,229,149,2,450.32
654,229,150,2,121.59
655,229,147,2,224.23
656,229,148,1,229.71
657,230,282,3,333.42
658,230,278,3,170.58
659,230,281,1,320.58
660,231,186,1,362.06
661,231,187,3,492.54
662,232,284,1,504.57
663,232,283,3,584.65
664,232,288,2,376.44
665,232,286,1,248.66
666,232,290,1,189.25
667,233,328,3,383.36
668,233,324,3,468.77
669,233,323,2,535.41
670,233,326,3,546.1
671,233,327,3,201.68
672,234,322,1,486.15
673,234,311,3,499.23
674,234,316,2,292.94
675,234,319,3,235.33
676,234,321,1,595.09
677,235,228,1,247.63
678,235,232,1,370.3
679,235,230,1,392.78
680,235,226,1,376.49
681,235,225,2,451.94
682,236,161,1,116.19
683,236,159,2,315.52
684,236,154,2,296.82
685,236,162,1,413.12
686,237,282,3,333.42
687,237,278,1,170.58
688,237,279,3,544.31
689,237,281,3,320.58
690,237,280,3,551.0
691,238,142,1,277.08
692,238,145,2,364.26
693,239,141,3,117.34
694,239,145,2,364.26
695,240,226,1,376.49
696,240,228,1,247.63
697,240,230,1,392.78
698,240,227,2,275.46
699,240,232,2,370.3
700,241,255,1,434.17
701,241,252,1,372.2
702,241,256,2,165.55
703,241,253,1,580.8
704,241,254,3,145.27
705,242,76,3,163.48
706,242,74,3,546.89
707,243,26,3,457.65
708,243,28,3,355.9
709,243,25,3,358.61
710,243,27,3,304.17
711,243,24,1,118.07
712,244,82,3,257.14
713,244,80,2,106.36
714,244,83,2,171.45
715,244,84,3,337.48
716,245,19,1,522.0
717,245,20,2,325.95
718,245,22,2,340.37
719,246,85,3,238.95
720,246,91,2,586.69
721,246,88,2,399.89
722,247,298,3,122.61
723,247,295,1,412.3
724,247,301,3,183.0
725,248,347,2,427.68
726,248,348,1,469.54
727,249,274,1,310.49
728,249,271,2,259.08
729,250,277,1,194.41
730,250,281,2,320.58
731,250,279,2,544.31
732,250,282,3,333.42
733,251,34,1,432.02
734,251,37,1,100.35
735,251,35,3,488.92
736,251,32,3,330.06
737,252,255,1,434.17
738,253,238,1,113.79
739,254,35,2,488.92
740,254,30,1,556.72
741,254,38,2,259.16
742,254,37,3,100.35
743,255,206,3,386.23
744,255,203,1,252.37
745,256,22,3,340.37
746,256,19,2,522.0
747,257,280,3,551.0
748,257,278,1,170.58
749,257,277,1,194.41
750,257,282,3,333.42
751,258,211,2,115.45
752,258,208,3,137.07
753,258,206,3,386.23
754,258,212,2,194.83
755,258,204,2,520.08
756,259,7,1,273.24
757,260,3,2,412.97
758,260,9,3,443.53
759,260,4,3,544.92
760,261,27,3,304.17
761,261,28,3,355.9
762,261,25,2,358.61
763,261,26,2,457.65
764,261,24,1,118.07
765,262,112,1,517.61
766,263,296,1,371.15
767,263,302,1,218.65
768,264,77,1,324.39
769,264,78,1,463.86
770,265,208,2,137.07
771,265,205,3,186.6
772,265,206,2,386.23
773,266,196,1,538.92
774,267,334,1,412.22
775,267,335,2,298.79
776,267,331,3,251.12
777,267,329,3,249.74
778,268,256,3,165.55
779,268,252,1,372.2
780,268,253,2,580.8
781,269,77,2,324.39
782,269,78,3,463.86
783,270,144,1,244.77
784,271,256,1,165.55
785,271,255,1,434.17
786,271,253,3,580.8
787,272,196,2,538.92
788,272,195,3,148.48
789,272,194,1,325.53
790,273,149,1,450.32
791,273,147,1,224.23
792,273,151,2,154.02
793,273,146,2,210.85
794,273,150,3,121.59
795,274,205,2,186.6
796,274,203,2,252.37
797,274,209,1,502.3
798,274,208,1,137.07
799,274,211,2,115.45
800,275,71,3,386.66
801,276,77,2,324.39
802,276,76,3,163.48
803,276,78,2,463.86
804,276,79,2,329.29
805,276,74,3,546.89
806,277,68,1,492.27
807,277,70,1,347.88
808,278,182,2,304.21
809,279,343,1,111.87
810,280,335,1,298.79
811,280,333,1,236.94
812,280,330,1,135.75
813,281,118,3,498.42
814,282,235,3,501.59
815,282,238,1,113.79
816,283,84,2,337.48
817,284,20,2,325.95
818,284,23,3,546.25
819,284,19,1,522.0
820,284,21,2,220.2
821,285,70,2,347.88
822,285,73,3,483.94
823,285,67,3,309.79
824,285,71,3,386.66
825,286,336,3,219.87
826,287,32,3,330.06
827,288,316,1,292.94
828,288,315,2,204.69
829,288,317,2,388.58
830,288,318,1,328.7
831,289,105,1,226.0
832,290,309,3,368.22
833,291,246,2,586.06
834,291,250,2,353.33
835,291,247,3,487.56
836,291,244,3,561.85
837,292,64,1,493.51
838,292,62,1,371.7
839,292,59,1,535.48
840,292,65,1,412.41
841,292,63,3,102.11
842,293,245,3,516.14
843,294,56,3,336.27
844,294,54,3,341.34
845,295,176,2,178.28
846,295,178,3,466.71
847,295,182,3,304.21
848,295,177,2,427.86
849,295,175,2,233.96
850,296,10,2,266.03
851,297,326,2,546.1
852,298,254,1,145.27
853,298,252,2,372.2
854,298,255,3,434.17
855,299,149,3,450.32
856,300,88,3,399.89
